trace_id,dataset,task_id,model,agent_or_harness,success,reward,resolved,duration_s,input_tokens,output_tokens,cache_tokens,total_steps
terminalbench:c513ad5f-2116-409b-a546-fb7f822bcbee,terminalbench,dna-insert,openai/gpt-oss-120b@together_ai,terminus-2,False,0.0,False,420.5799865722656,162483.0,11463.0,0.0,14
terminalbench:chess-best-move__GPSCij4,terminalbench,chess-best-move,gemini-2.5-pro@gemini,terminus-2,False,0.0,False,598.5490112304688,430901.0,37751.0,,27
terminalbench:dna-assembly__fVKWnw2,terminalbench,dna-assembly,grok-4-0709@xai,terminus-2,False,0.0,False,1826.748046875,1792.0,230.0,,3
terminalbench:feal-linear-cryptanalysis__77phddn,terminalbench,feal-linear-cryptanalysis,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,False,0.0,False,1826.2010498046875,2254281.0,27994.0,,62
terminalbench:count-dataset-tokens__NsZxWqB,terminalbench,count-dataset-tokens,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,False,0.0,False,293.3290100097656,128431.0,2809.0,,17
terminalbench:git-multibranch__JhrVr93,terminalbench,git-multibranch,moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,True,1.0,True,467.5690002441406,649864.0,9774.0,,66
terminalbench:git-multibranch__J2RUTMR,terminalbench,git-multibranch,gemini-2.5-pro@gemini,mini-swe-agent,True,1.0,True,189.68800354003906,38414.0,12136.0,,9
terminalbench:b37078db-f1de-4155-8cac-83885af0467f,terminalbench,compile-compcert,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,True,1.0,True,2251.10595703125,1025535.0,13172.0,0.0,49
terminalbench:extract-moves-from-video__3DTkiFB,terminalbench,extract-moves-from-video,gemini-2.5-pro@gemini,gemini-cli,False,0.0,False,85.04299926757812,7522.0,100.0,,2
terminalbench:fix-code-vulnerability__7MNwj3f,terminalbench,fix-code-vulnerability,gemini-2.5-pro@gemini,openhands,False,0.0,False,252.6510009765625,1407046.0,6357.0,,85
terminalbench:extract-moves-from-video__n7KssNf,terminalbench,extract-moves-from-video,claude-haiku-4-5-20251001@anthropic,mini-swe-agent,False,0.0,False,514.0850219726562,853457.0,16027.0,,55
terminalbench:extract-moves-from-video__m2E3JMW,terminalbench,extract-moves-from-video,grok-4-0709@xai,terminus-2,False,0.0,False,1236.97705078125,229829.0,5705.0,,20
terminalbench:configure-git-webserver__m2nXT2J,terminalbench,configure-git-webserver,gemini-2.5-flash@gemini,gemini-cli,False,0.0,False,97.91899871826172,126676.0,1381.0,,11
terminalbench:fix-git__oNVMkMX,terminalbench,fix-git,claude-sonnet-4-5-20250929@anthropic,terminus-2,True,1.0,True,100.19300079345703,22262.0,1894.0,,10
terminalbench:fix-code-vulnerability__Jk867FD,terminalbench,fix-code-vulnerability,claude-opus-4-5-20251101@anthropic,terminus-2,True,1.0,True,285.9129943847656,321703.0,5421.0,,26
terminalbench:custom-memory-heap-crash__bj2sBEW,terminalbench,custom-memory-heap-crash,gpt-5.1-codex@openai,terminus-2,True,1.0,True,310.9949951171875,80197.0,12730.0,,19
terminalbench:compile-compcert__xn4xx49,terminalbench,compile-compcert,gemini-3-pro-preview@gemini,terminus-2,True,1.0,True,1114.27197265625,466117.0,7513.0,,25
terminalbench:cobol-modernization__oGsVWUm,terminalbench,cobol-modernization,gpt-5@openai,openhands,True,1.0,True,765.343994140625,236327.0,44558.0,,53
terminalbench:constraints-scheduling__ZbQGknY,terminalbench,constraints-scheduling,gpt-5-codex@openai,mini-swe-agent,True,1.0,True,143.51499938964844,15419.0,6296.0,,9
terminalbench:crack-7z-hash__RLAoG8d,terminalbench,crack-7z-hash,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,False,0.0,False,189.56100463867188,274483.0,2121.0,,62
terminalbench:feal-differential-cryptanalysis__dVRyQsT,terminalbench,feal-differential-cryptanalysis,gpt-5-codex@openai,mini-swe-agent,False,0.0,False,1831.092041015625,49052.0,99922.0,,16
terminalbench:break-filter-js-from-html__FqPsJBQ,terminalbench,break-filter-js-from-html,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,False,0.0,False,276.2900085449219,564674.0,4476.0,,77
terminalbench:gcode-to-text__ZEn2dkD,terminalbench,gcode-to-text,gemini-2.5-pro@gemini,terminus-2,False,0.0,False,183.92599487304688,29757.0,11097.0,,13
terminalbench:extract-elf__RypGGD7,terminalbench,extract-elf,gpt-5-mini@openai,terminus-2,True,1.0,True,239.23800659179688,21469.0,7702.0,,6
terminalbench:distribution-search__iVaT6bk,terminalbench,distribution-search,gpt-5-mini@openai,mini-swe-agent,False,0.0,False,1856.7650146484375,319314.0,67757.0,,21
terminalbench:b0742f83-9ed8-462b-bf80-1be023cebfa4,terminalbench,chess-best-move,accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,False,0.0,False,237.947998046875,141963.0,10849.0,0.0,22
terminalbench:cobol-modernization__UDZTrB8,terminalbench,cobol-modernization,openai/gpt-oss-120b@together_ai,terminus-2,False,0.0,False,136.51499938964844,30429.0,4528.0,,10
terminalbench:feal-differential-cryptanalysis__piFmJgM,terminalbench,feal-differential-cryptanalysis,gpt-5@openai,mini-swe-agent,False,0.0,False,340.9670104980469,6754.0,14705.0,,6
terminalbench:dna-assembly__7v7U7dP,terminalbench,dna-assembly,gpt-5-nano@openai,codex,False,0.0,False,60.88399887084961,6963.0,3175.0,,3
terminalbench:custom-memory-heap-crash__ksHxVE4,terminalbench,custom-memory-heap-crash,claude-opus-4-5-20251101@anthropic,claude-code,True,1.0,True,145.8419952392578,,,,32
terminalbench:code-from-image__3Uhov5Y,terminalbench,code-from-image,claude-opus-4-1-20250805@anthropic,openhands,False,0.0,False,929.3590087890625,2418702.0,27340.0,,147
terminalbench:feal-linear-cryptanalysis__DXW3rqL,terminalbench,feal-linear-cryptanalysis,gpt-5-nano@openai,terminus-2,False,0.0,False,1870.072021484375,444206.0,80714.0,,19
terminalbench:chess-best-move__kzNGnHK,terminalbench,chess-best-move,openai/gpt-oss-20b@together_ai,terminus-2,False,0.0,False,58.28099822998047,4000.0,3806.0,,5
terminalbench:cancel-async-tasks__TcAWiMZ,terminalbench,cancel-async-tasks,deepseek-v3.2@deepseek,terminus-2,True,1.0,True,227.59500122070312,48802.0,6931.0,,9
terminalbench:dna-insert__GnxvpN6,terminalbench,dna-insert,claude-sonnet-4-5-20250929@anthropic,claude-code,False,0.0,False,364.49200439453125,1542408.0,611.0,,43
terminalbench:bn-fit-modify__iKZFtE9,terminalbench,bn-fit-modify,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,False,0.0,False,563.77099609375,677833.0,10651.0,,46
terminalbench:break-filter-js-from-html__FGRoBV3,terminalbench,break-filter-js-from-html,grok-4-0709@xai,terminus-2,False,0.0,False,481.9159851074219,6351.0,701.0,,5
terminalbench:compile-compcert__uE7TgbY,terminalbench,compile-compcert,gpt-5.1@openai,terminus-2,False,0.0,False,2431.947021484375,226964.0,64536.0,,16
terminalbench:filter-js-from-html__2YjLbDc,terminalbench,filter-js-from-html,claude-opus-4-6@anthropic,terminus-2,False,0.0,False,976.5079956054688,537081.0,29805.0,,23
terminalbench:chess-best-move__uuegXjZ,terminalbench,chess-best-move,gpt-5-mini@openai,codex,False,0.0,False,97.98100280761719,25339.0,4709.0,,8
terminalbench:filter-js-from-html__GkNQfut,terminalbench,filter-js-from-html,grok-code-fast-1@xai,terminus-2,False,0.0,False,599.0130004882812,4648.0,550.0,,4
terminalbench:break-filter-js-from-html__JvEZKz4,terminalbench,break-filter-js-from-html,claude-opus-4-1-20250805@anthropic,terminus-2,True,1.0,True,354.0679931640625,166825.0,6148.0,,24
terminalbench:bn-fit-modify__v5hv5Ur,terminalbench,bn-fit-modify,gemini-3.1-pro-preview@Google,terminus-3-3,True,1.0,True,455.8630065917969,459354.0,17532.0,,26
terminalbench:extract-elf__QT8G7xZ,terminalbench,extract-elf,gemini-2.5-pro@gemini,terminus-2,False,0.0,False,125.91400146484375,32466.0,8653.0,,8
terminalbench:code-from-image__YsvQ7ve,terminalbench,code-from-image,openai/gpt-oss-120b@together_ai,mini-swe-agent,False,0.0,False,457.75799560546875,293894.0,3122.0,,18
terminalbench:build-pov-ray__GU9uHwX,terminalbench,build-pov-ray,claude-opus-4-6@anthropic,claude-code,True,1.0,True,192.68699645996094,,,,47
terminalbench:fix-ocaml-gc__ghD6EQ2,terminalbench,fix-ocaml-gc,grok-4-0709@xai,mini-swe-agent,True,1.0,True,1347.469970703125,268289.0,5004.0,,22
terminalbench:d347ee72-795b-4d2f-83d0-d6be6f943fb6,terminalbench,extract-moves-from-video,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,False,0.0,False,769.208984375,720103.0,13701.0,0.0,42
terminalbench:cancel-async-tasks__9xwMxLT,terminalbench,cancel-async-tasks,gpt-5@openai,terminus-2,False,0.0,False,146.49400329589844,3255.0,3741.0,,4
terminalbench:bn-fit-modify__unMTjwE,terminalbench,bn-fit-modify,gemini-3-pro-preview@gemini,terminus-2,False,0.0,False,575.844970703125,194723.0,16229.0,,14
terminalbench:distribution-search__q2iCy3k,terminalbench,distribution-search,claude-haiku-4-5-20251001@anthropic,mini-swe-agent,True,1.0,True,133.6199951171875,39059.0,9093.0,,8
terminalbench:configure-git-webserver__YQD5qke,terminalbench,configure-git-webserver,gemini-2.5-pro@gemini,terminus-2,True,1.0,True,121.98999786376953,28775.0,5447.0,,7
terminalbench:git-multibranch__VNtysWi,terminalbench,git-multibranch,minimax-m2.5@Minimax,terminus-2,True,1.0,True,718.489990234375,142688.0,6051.0,,27
terminalbench:caffe-cifar-10__j5abWvU,terminalbench,caffe-cifar-10,gemini-3-pro-preview@gemini,terminus-2,False,0.0,False,1213.635986328125,38822.0,19435.0,,10
terminalbench:build-cython-ext__FamJxJi,terminalbench,build-cython-ext,claude-haiku-4-5-20251001@anthropic,claude-code,False,0.0,False,263.14801025390625,3232496.0,1439.0,,93
terminalbench:distribution-search__tAZPxRL,terminalbench,distribution-search,accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,False,0.0,False,464.9530029296875,691706.0,16194.0,,31
terminalbench:fix-ocaml-gc__rg8Hbt9,terminalbench,fix-ocaml-gc,gemini-2.5-pro@gemini,openhands,True,1.0,True,1274.02001953125,552317.0,4982.0,,43
terminalbench:fix-ocaml-gc__KzsrUNH,terminalbench,fix-ocaml-gc,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,False,0.0,False,1391.1700439453125,2457547.0,18466.0,,97
terminalbench:caffe-cifar-10__XEAzA2B,terminalbench,caffe-cifar-10,gpt-5-mini@openai,terminus-2,False,0.0,False,1219.218017578125,10074.0,9721.0,,5
terminalbench:feal-linear-cryptanalysis__zLQiBr4,terminalbench,feal-linear-cryptanalysis,claude-opus-4-6@anthropic,terminus-2,False,0.0,False,1820.3609619140625,9517.0,2645.0,,3
terminalbench:83922183-b6df-4772-a086-38e588d3280d,terminalbench,bn-fit-modify,accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,False,0.0,False,298.15899658203125,500708.0,8478.0,442993.0,33
terminalbench:534d1072-c4f8-4820-9f84-cbbaf946dbe9,terminalbench,compile-compcert,openai/gpt-oss-120b@together_ai,mini-swe-agent,False,0.0,False,1689.6739501953125,1242627.0,51592.0,0.0,61
terminalbench:dna-insert__H4MEipf,terminalbench,dna-insert,grok-4-0709@xai,openhands,False,0.0,False,1448.1619873046875,304055.0,1895.0,,43
terminalbench:feal-linear-cryptanalysis__QziP3Vh,terminalbench,feal-linear-cryptanalysis,moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,False,0.0,False,1833.865966796875,1580575.0,23162.0,,50
terminalbench:gcode-to-text__75ahG7u,terminalbench,gcode-to-text,claude-sonnet-4-5-20250929@anthropic,openhands,False,0.0,False,256.54901123046875,471821.0,7797.0,,41
terminalbench:configure-git-webserver__iHgG8rt,terminalbench,configure-git-webserver,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,True,1.0,True,158.3070068359375,45829.0,3775.0,,10
terminalbench:e8890057-7da7-4557-89e0-1ec6a72f3053,terminalbench,constraints-scheduling,openai/gpt-oss-20b@together_ai,terminus-2,False,0.0,False,55.724998474121094,10639.0,3671.0,0.0,6
terminalbench:crack-7z-hash__rDztiEV,terminalbench,crack-7z-hash,claude-haiku-4-5-20251001@anthropic,claude-code,False,0.0,False,235.34300231933594,1406615.0,2258.0,,63
terminalbench:caffe-cifar-10__j5MyEVX,terminalbench,caffe-cifar-10,accounts/fireworks/models/glm-4p6@fireworks_ai,terminus-2,False,0.0,False,1256.77001953125,202608.0,4550.0,,24
terminalbench:crack-7z-hash__7f4HChP,terminalbench,crack-7z-hash,openai/gpt-oss-120b@together_ai,terminus-2,False,0.0,False,933.7559814453125,917704.0,29903.0,,57
terminalbench:bn-fit-modify__Fkee2Qf,terminalbench,bn-fit-modify,claude-opus-4-1-20250805@anthropic,terminus-2,False,0.0,False,393.9930114746094,168036.0,6756.0,,16
terminalbench:constraints-scheduling__gheoNFv,terminalbench,constraints-scheduling,openai/gpt-oss-20b@together_ai,mini-swe-agent,True,1.0,True,112.0979995727539,10441.0,6576.0,,5
terminalbench:git-leak-recovery__BjuBwZt,terminalbench,git-leak-recovery,gpt-5-mini@openai,codex,True,1.0,True,89.33100128173828,36777.0,3875.0,,7
terminalbench:code-from-image__zsKWEfT,terminalbench,code-from-image,minimax-m2.5@Minimax,terminus-2,True,1.0,True,459.76300048828125,19518.0,2504.0,,10
terminalbench:adaptive-rejection-sampler__S9ztpda,terminalbench,adaptive-rejection-sampler,gpt-5@openai,openhands,True,1.0,True,651.1079711914062,466381.0,53188.0,,49
terminalbench:fix-code-vulnerability__MGwvfqd,terminalbench,fix-code-vulnerability,gemini-2.5-flash@gemini,mini-swe-agent,False,0.0,False,196.4219970703125,1002680.0,16987.0,,48
terminalbench:feal-linear-cryptanalysis__kgm4zWE,terminalbench,feal-linear-cryptanalysis,claude-opus-4-1-20250805@anthropic,terminus-2,False,0.0,False,1838.2440185546875,752957.0,30637.0,,24
terminalbench:configure-git-webserver__HbmY2fX,terminalbench,configure-git-webserver,gpt-5@openai,terminus-2,True,1.0,True,331.5329895019531,18452.0,7879.0,,6
terminalbench:crack-7z-hash__epu7kdV,terminalbench,crack-7z-hash,grok-code-fast-1@xai,terminus-2,False,0.0,False,942.125,621255.0,5000.0,,29
terminalbench:d4a4445b-9e0b-4d7c-a568-ce8d6e3110d4,terminalbench,custom-memory-heap-crash,openai/gpt-oss-20b@together_ai,terminus-2,False,0.0,False,1121.6600341796875,5415318.0,62495.0,0.0,202
terminalbench:cancel-async-tasks__UH8Uk8U,terminalbench,cancel-async-tasks,gpt-5.2@openai,terminus-2,True,1.0,True,101.73999786376953,,,,3
terminalbench:2793017b-ca2d-4cf3-bb56-998698878ec0,terminalbench,filter-js-from-html,accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,False,0.0,False,1015.3350219726562,947326.0,24942.0,0.0,48
terminalbench:break-filter-js-from-html__MgjoEjh,terminalbench,break-filter-js-from-html,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,False,0.0,False,719.9810180664062,1477954.0,13831.0,,100
terminalbench:constraints-scheduling__uSUQEHh,terminalbench,constraints-scheduling,claude-haiku-4-5-20251001@anthropic,claude-code,True,1.0,True,61.297000885009766,205281.0,481.0,,17
terminalbench:circuit-fibsqrt__EG6DuVj,terminalbench,circuit-fibsqrt,moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,False,0.0,False,1553.9990234375,4880741.0,39935.0,,260
terminalbench:cb096694-465d-4e1d-a1cf-ee162302254e,terminalbench,feal-differential-cryptanalysis,moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,False,0.0,False,1838.9620361328125,2161820.0,41803.0,0.0,66
terminalbench:feal-linear-cryptanalysis__eoTtovR,terminalbench,feal-linear-cryptanalysis,grok-code-fast-1@xai,mini-swe-agent,False,0.0,False,247.843994140625,507507.0,9101.0,,29
terminalbench:feal-differential-cryptanalysis__Vc4gwin,terminalbench,feal-differential-cryptanalysis,claude-opus-4-6@anthropic,claude-code,True,1.0,True,287.76800537109375,,,,21
terminalbench:12fc4797-7cf9-4b18-89c3-138dd723bcbd,terminalbench,gcode-to-text,openai/gpt-oss-120b@together_ai,mini-swe-agent,False,0.0,False,50.65700149536133,14351.0,646.0,0.0,6
terminalbench:gcode-to-text__bTDDyTF,terminalbench,gcode-to-text,accounts/fireworks/models/minimax-m2@fireworks_ai,terminus-2,False,0.0,False,359.2149963378906,240638.0,8658.0,,33
terminalbench:caffe-cifar-10__zjg6gBb,terminalbench,caffe-cifar-10,claude-opus-4.6@anthropic,judy,False,0.0,False,2087.27392578125,,,,49
terminalbench:794b23b1-acd5-46c0-8dbb-4c098b8fb151,terminalbench,build-cython-ext,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,False,0.0,False,595.2620239257812,558959.0,10819.0,0.0,33
terminalbench:build-pmars__B948MTE,terminalbench,build-pmars,claude-opus-4-5-20251101@anthropic,openhands,False,0.0,False,155.281005859375,,,,25
terminalbench:feal-differential-cryptanalysis__fh5HiZY,terminalbench,feal-differential-cryptanalysis,claude-opus-4-6@anthropic,terminus-2,True,1.0,True,607.10498046875,110335.0,22317.0,,12
terminalbench:gcode-to-text__FgAUecH,terminalbench,gcode-to-text,gemini-2.5-flash@gemini,openhands,False,0.0,False,158.34300231933594,254379.0,2269.0,,31
terminalbench:extract-elf__4EQMCxV,terminalbench,extract-elf,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,True,1.0,True,176.2469940185547,155259.0,3023.0,,15
terminalbench:dd58b537-bf90-484c-893f-0df9c8fba71f,terminalbench,git-leak-recovery,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,True,1.0,True,129.22999572753906,23825.0,3435.0,0.0,10
terminalbench:adaptive-rejection-sampler__qag8RST,terminalbench,adaptive-rejection-sampler,claude-opus-4-1-20250805@anthropic,openhands,True,1.0,True,735.3779907226562,1651634.0,25097.0,,83
terminalbench:fix-git__3wrEMQQ,terminalbench,fix-git,claude-opus-4-1-20250805@anthropic,mini-swe-agent,True,1.0,True,96.47599792480469,21727.0,1027.0,,14
terminalbench:break-filter-js-from-html__kwAZj4d,terminalbench,break-filter-js-from-html,gpt-5-mini@openai,terminus-2,False,0.0,False,235.8249969482422,14096.0,6516.0,,7
terminalbench:git-multibranch__oW2cNRw,terminalbench,git-multibranch,gpt-5-codex@openai,mini-swe-agent,False,0.0,False,942.0650024414062,54529.0,43937.0,,21
terminalbench:fix-code-vulnerability__CedTGru,terminalbench,fix-code-vulnerability,claude-opus-4-1-20250805@anthropic,claude-code,False,0.0,False,417.90399169921875,2121444.0,663.0,,74
terminalbench:git-leak-recovery__zTNzsj5,terminalbench,git-leak-recovery,gpt-5-mini@openai,openhands,True,1.0,True,517.6480102539062,120853.0,24714.0,,37
terminalbench:custom-memory-heap-crash__x2Hgk6c,terminalbench,custom-memory-heap-crash,gemini-2.5-flash@gemini,openhands,False,0.0,False,274.5880126953125,455418.0,30842.0,,41
terminalbench:compile-compcert__3oVSYGR,terminalbench,compile-compcert,claude-haiku-4-5-20251001@anthropic,openhands,False,0.0,False,2625.950927734375,21222383.0,33457.0,,3006
terminalbench:75336a4e-4797-406f-872c-5a2a3f750927,terminalbench,financial-document-processor,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,True,1.0,True,368.510986328125,168927.0,10985.0,0.0,21
terminalbench:cancel-async-tasks__5etpwsj,terminalbench,cancel-async-tasks,gpt-5.1-codex@openai,terminus-2,False,0.0,False,177.86599731445312,4991.0,4863.0,,4
terminalbench:code-from-image__fZiRL6i,terminalbench,code-from-image,claude-sonnet-4-5-20250929@anthropic,claude-code,True,1.0,True,74.4219970703125,144344.0,244.0,,14
terminalbench:a65ae3d7-806f-4b27-9746-90f4a4c7b160,terminalbench,cancel-async-tasks,moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,True,1.0,True,133.84300231933594,46948.0,2808.0,0.0,15
terminalbench:fix-ocaml-gc__Cwm72SR,terminalbench,fix-ocaml-gc,claude-haiku-4-5-20251001@anthropic,mini-swe-agent,False,0.0,False,4621.6220703125,8337596.0,39849.0,,150
terminalbench:build-pmars__xGL2vib,terminalbench,build-pmars,gemini-2.5-pro@gemini,terminus-2,True,1.0,True,611.0850219726562,288654.0,28333.0,,19
terminalbench:gcode-to-text__EsQLUfD,terminalbench,gcode-to-text,gpt-5@openai,mini-swe-agent,False,0.0,False,236.45700073242188,10963.0,11160.0,,6
terminalbench:constraints-scheduling__ntAatUb,terminalbench,constraints-scheduling,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,True,1.0,True,168.8470001220703,145958.0,5693.0,,29
terminalbench:gpt2-codegolf__vWMmPau,terminalbench,gpt2-codegolf,claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,False,0.0,False,921.2139892578125,1374445.0,32281.0,,53
terminalbench:gcode-to-text__PAov8qe,terminalbench,gcode-to-text,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,terminus-2,False,0.0,False,229.7519989013672,16184.0,1263.0,,10
terminalbench:bn-fit-modify__oYDAr5k,terminalbench,bn-fit-modify,gpt-5-mini@openai,mini-swe-agent,True,1.0,True,820.1209716796875,377051.0,49179.0,,22
