cohort_id,shared_kv_id,node_ids,planned_start_ms,max_wait_ms,shared_kv_region,expected_shared_kv_bytes_read,expected_private_kv_bytes_read,expected_query_transfer_bytes,expected_merge_bytes,cohort_size,baseline,event_driven,arrival_rate_jobs_per_s
event_cohort_10,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_38_r0_proposer_0,debate_job_38_r0_proposer_1,debate_job_38_r0_proposer_2,debate_job_39_r0_proposer_0,debate_job_38_r0_proposer_3,debate_job_39_r0_proposer_1,debate_job_39_r0_proposer_2,debate_job_39_r0_proposer_3",23.73424128,2.0,r1c0,17179869184,1048576,262144,65536,8,pat_like,True,16.0
event_cohort_11,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_40_r0_proposer_1,debate_job_40_r0_proposer_2,debate_job_40_r0_proposer_3,debate_job_41_r0_proposer_0,debate_job_41_r0_proposer_2,debate_job_41_r0_proposer_1,debate_job_43_r0_proposer_0,debate_job_41_r0_proposer_3,debate_job_45_r0_proposer_0,debate_job_42_r0_proposer_2,debate_job_45_r0_proposer_2,debate_job_42_r0_proposer_1,debate_job_44_r0_proposer_0,debate_job_43_r0_proposer_1,debate_job_42_r0_proposer_0,debate_job_43_r0_proposer_2",23.73424128,2.0,r1c0,17179869184,2097152,524288,131072,16,pat_like,True,16.0
event_cohort_12,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_42_r0_proposer_3,debate_job_43_r0_proposer_3,debate_job_44_r0_proposer_2,debate_job_44_r0_proposer_1,debate_job_45_r0_proposer_3,debate_job_45_r0_proposer_1,debate_job_44_r0_proposer_3,debate_job_46_r0_proposer_1,debate_job_46_r0_proposer_0,debate_job_47_r0_proposer_2,debate_job_47_r0_proposer_3,debate_job_48_r0_proposer_1,debate_job_49_r0_proposer_0,debate_job_47_r0_proposer_0,debate_job_46_r0_proposer_3,debate_job_46_r0_proposer_2",23.73424128,2.0,r1c0,17179869184,2097152,524288,131072,16,pat_like,True,16.0
event_cohort_13,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_47_r0_proposer_1,debate_job_48_r0_proposer_0,debate_job_48_r0_proposer_2,debate_job_49_r0_proposer_2,debate_job_49_r0_proposer_1,debate_job_48_r0_proposer_3,debate_job_49_r0_proposer_3",23.73424128,2.0,r1c0,17179869184,917504,229376,57344,7,pat_like,True,16.0
event_cohort_14,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_4_r0_proposer_0,debate_job_4_r0_proposer_1,debate_job_4_r0_proposer_2,debate_job_6_r0_proposer_0,debate_job_4_r0_proposer_3,debate_job_5_r0_proposer_0,debate_job_7_r0_proposer_1,debate_job_7_r0_proposer_3,debate_job_5_r0_proposer_1,debate_job_6_r0_proposer_3,debate_job_6_r0_proposer_1,debate_job_5_r0_proposer_2,debate_job_5_r0_proposer_3,debate_job_6_r0_proposer_2,debate_job_7_r0_proposer_0,debate_job_7_r0_proposer_2",23.73424128,2.0,r1c0,17179869184,2097152,524288,131072,16,pat_like,True,16.0
event_cohort_15,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_8_r0_proposer_0,debate_job_8_r0_proposer_1,debate_job_8_r0_proposer_3,debate_job_8_r0_proposer_2,debate_job_9_r0_proposer_0,debate_job_9_r0_proposer_2,debate_job_9_r0_proposer_1,debate_job_9_r0_proposer_3",33.73424128,2.0,r1c0,17179869184,1048576,262144,65536,8,pat_like,True,16.0
event_cohort_16,sha256:d08f7705db36f82a4f2d727786a32471acef92d153cb06da56e3417fcdc6f080,"long_context_swe_stress_job_11_planner,long_context_swe_stress_job_12_planner,long_context_swe_stress_job_13_planner,long_context_swe_stress_job_17_planner,long_context_swe_stress_job_14_planner,long_context_swe_stress_job_19_planner,long_context_swe_stress_job_18_planner,long_context_swe_stress_job_15_planner,long_context_swe_stress_job_16_planner",36.803818956825516,2.0,r0c0,68719476736,4718592,294912,73728,9,pat_like,True,16.0
event_cohort_17,sha256:d87bb32c680f6f336acaccf8d28838f2881e1767bb65bbc97c09858935e8f200,"long_context_swe_stress_job_1_planner,long_context_swe_stress_job_2_planner",40.761280252928515,2.0,r0c0,68719476736,1048576,65536,16384,2,pat_like,True,16.0
event_cohort_18,sha256:367c3d94bfcecb7696b551dc473763eec3d4b98a9278dff9abc4468e333c11a0,"long_context_swe_stress_job_22_planner,long_context_swe_stress_job_23_planner,long_context_swe_stress_job_25_planner,long_context_swe_stress_job_24_planner,long_context_swe_stress_job_26_planner,long_context_swe_stress_job_28_planner,long_context_swe_stress_job_27_planner,long_context_swe_stress_job_29_planner",46.803818956825516,2.0,r0c0,68719476736,4194304,262144,65536,8,pat_like,True,16.0
event_cohort_19,sha256:5f9bb2d747d99e03397893533bf6f14b19b2bb326cc985a4978642c00457ca22,"long_context_swe_stress_job_31_planner,long_context_swe_stress_job_32_planner,long_context_swe_stress_job_33_planner,long_context_swe_stress_job_35_planner,long_context_swe_stress_job_34_planner",46.803818956825516,2.0,r0c0,68719476736,2621440,163840,40960,5,pat_like,True,16.0
event_cohort_20,sha256:5f9bb2d747d99e03397893533bf6f14b19b2bb326cc985a4978642c00457ca22,"long_context_swe_stress_job_37_planner,long_context_swe_stress_job_38_planner,long_context_swe_stress_job_39_planner",56.803818956825516,2.0,r0c0,68719476736,1572864,98304,24576,3,pat_like,True,16.0
event_cohort_21,sha256:4bc8814ada41012f1afe0b8d9050bc10da1f70740768a3abe8a10ca498ba6fd3,"long_context_swe_stress_job_41_planner,long_context_swe_stress_job_42_planner,long_context_swe_stress_job_43_planner,long_context_swe_stress_job_45_planner,long_context_swe_stress_job_46_planner,long_context_swe_stress_job_44_planner,long_context_swe_stress_job_47_planner,long_context_swe_stress_job_48_planner,long_context_swe_stress_job_49_planner",56.803818956825516,2.0,r0c0,68719476736,4718592,294912,73728,9,pat_like,True,16.0
event_cohort_22,sha256:d87bb32c680f6f336acaccf8d28838f2881e1767bb65bbc97c09858935e8f200,"long_context_swe_stress_job_6_planner,long_context_swe_stress_job_7_planner,long_context_swe_stress_job_8_planner,long_context_swe_stress_job_9_planner",66.80381895682552,2.0,r0c0,68719476736,2097152,131072,32768,4,pat_like,True,16.0
event_cohort_23,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_10_r0_critic_3,debate_job_11_r0_critic_0,debate_job_11_r0_critic_2,debate_job_11_r0_critic_1,debate_job_11_r0_critic_3,debate_job_12_r0_critic_0,debate_job_13_r0_critic_2,debate_job_15_r0_critic_0,debate_job_13_r0_critic_1,debate_job_15_r0_critic_3,debate_job_12_r0_critic_2,debate_job_13_r0_critic_3,debate_job_14_r0_critic_3,debate_job_14_r0_critic_0,debate_job_16_r0_critic_1,debate_job_16_r0_critic_2",81.40164930020589,2.0,r1c0,17179869184,2228224,524288,131072,16,pat_like,True,16.0
event_cohort_24,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_12_r0_critic_3,debate_job_13_r0_critic_0,debate_job_15_r0_critic_2,debate_job_14_r0_critic_1,debate_job_17_r0_critic_0,debate_job_16_r0_critic_0,debate_job_16_r0_critic_3,debate_job_14_r0_critic_2,debate_job_17_r0_critic_1,debate_job_19_r0_critic_0,debate_job_18_r0_critic_3,debate_job_19_r0_critic_1,debate_job_15_r0_critic_1",81.40164930020589,2.0,r1c0,17179869184,1810432,425984,106496,13,pat_like,True,16.0
event_cohort_25,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_0_r0_critic_3,debate_job_1_r0_critic_0,debate_job_1_r0_critic_1,debate_job_1_r0_critic_2,debate_job_1_r0_critic_3,debate_job_2_r0_critic_0,debate_job_2_r0_critic_1,debate_job_2_r0_critic_2,debate_job_2_r0_critic_3",86.85361876995758,2.0,r1c0,17179869184,1253376,294912,73728,9,pat_like,True,16.0
event_cohort_26,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_20_r0_critic_3,debate_job_21_r0_critic_0,debate_job_21_r0_critic_1,debate_job_22_r0_critic_0,debate_job_21_r0_critic_2,debate_job_21_r0_critic_3,debate_job_22_r0_critic_1,debate_job_22_r0_critic_3,debate_job_22_r0_critic_2",86.85361876995758,2.0,r1c0,17179869184,1253376,294912,73728,9,pat_like,True,16.0
event_cohort_27,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_17_r0_critic_3,debate_job_18_r0_critic_0,debate_job_18_r0_critic_2,debate_job_18_r0_critic_1,debate_job_19_r0_critic_2,debate_job_19_r0_critic_3",89.96902989639726,2.0,r1c0,17179869184,835584,196608,49152,6,pat_like,True,16.0
event_cohort_28,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_3_r0_critic_0,debate_job_3_r0_critic_1,debate_job_3_r0_critic_2,debate_job_3_r0_critic_3",91.40164929868816,2.0,r1c0,17179869184,557056,131072,32768,4,pat_like,True,16.0
event_cohort_29,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_25_r0_critic_2,debate_job_26_r0_critic_1,debate_job_26_r0_critic_3,debate_job_27_r0_critic_0,debate_job_27_r0_critic_3,debate_job_28_r0_critic_2,debate_job_28_r0_critic_3,debate_job_29_r0_critic_3,debate_job_28_r0_critic_0,debate_job_24_r0_critic_1,debate_job_29_r0_critic_0,debate_job_26_r0_critic_2,debate_job_23_r0_critic_0,debate_job_29_r0_critic_1,debate_job_24_r0_critic_3,debate_job_23_r0_critic_2",91.40164930020589,2.0,r1c0,17179869184,2228224,524288,131072,16,pat_like,True,16.0
event_cohort_30,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_23_r0_critic_1,debate_job_23_r0_critic_3,debate_job_24_r0_critic_0,debate_job_24_r0_critic_2,debate_job_26_r0_critic_0,debate_job_25_r0_critic_0,debate_job_27_r0_critic_1,debate_job_29_r0_critic_2,debate_job_27_r0_critic_2,debate_job_25_r0_critic_3,debate_job_28_r0_critic_1",91.40164930020589,2.0,r1c0,17179869184,1531904,360448,90112,11,pat_like,True,16.0
event_cohort_31,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_30_r0_critic_3,debate_job_31_r0_critic_0,debate_job_32_r0_critic_0,debate_job_31_r0_critic_1,debate_job_33_r0_critic_2,debate_job_32_r0_critic_1,debate_job_31_r0_critic_3,debate_job_31_r0_critic_2,debate_job_36_r0_critic_0,debate_job_34_r0_critic_1,debate_job_33_r0_critic_0,debate_job_32_r0_critic_3,debate_job_35_r0_critic_2,debate_job_33_r0_critic_1",91.40164930020589,2.0,r1c0,17179869184,1949696,458752,114688,14,pat_like,True,16.0
event_cohort_32,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_33_r0_critic_3,debate_job_34_r0_critic_0,debate_job_34_r0_critic_2,debate_job_36_r0_critic_2,debate_job_35_r0_critic_1,debate_job_34_r0_critic_3,debate_job_36_r0_critic_3,debate_job_35_r0_critic_3,debate_job_35_r0_critic_0,debate_job_36_r0_critic_1,debate_job_37_r0_critic_0,debate_job_37_r0_critic_1,debate_job_37_r0_critic_2,debate_job_37_r0_critic_3",95.3997602450952,2.0,r1c0,17179869184,1949696,458752,114688,14,pat_like,True,16.0
event_cohort_33,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_38_r0_critic_0,debate_job_38_r0_critic_1,debate_job_38_r0_critic_2,debate_job_38_r0_critic_3,debate_job_39_r0_critic_0,debate_job_39_r0_critic_1,debate_job_39_r0_critic_3,debate_job_39_r0_critic_2",101.40164930020588,2.0,r1c0,17179869184,1114112,262144,65536,8,pat_like,True,16.0
event_cohort_34,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_40_r0_critic_3,debate_job_41_r0_critic_0,debate_job_41_r0_critic_1,debate_job_41_r0_critic_2,debate_job_41_r0_critic_3,debate_job_43_r0_critic_0,debate_job_42_r0_critic_2,debate_job_42_r0_critic_0,debate_job_42_r0_critic_1,debate_job_43_r0_critic_3,debate_job_43_r0_critic_2,debate_job_44_r0_critic_2,debate_job_43_r0_critic_1,debate_job_44_r0_critic_1,debate_job_48_r0_critic_1,debate_job_45_r0_critic_3",101.40164930020588,2.0,r1c0,17179869184,2228224,524288,131072,16,pat_like,True,16.0
event_cohort_35,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_44_r0_critic_0,debate_job_44_r0_critic_3,debate_job_45_r0_critic_0,debate_job_46_r0_critic_0,debate_job_45_r0_critic_2,debate_job_45_r0_critic_1,debate_job_47_r0_critic_2,debate_job_47_r0_critic_3,debate_job_47_r0_critic_0,debate_job_46_r0_critic_2,debate_job_46_r0_critic_1,debate_job_49_r0_critic_0,debate_job_46_r0_critic_3",101.40164930020588,2.0,r1c0,17179869184,1810432,425984,106496,13,pat_like,True,16.0
event_cohort_36,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_4_r0_critic_1,debate_job_4_r0_critic_2,debate_job_4_r0_critic_3,debate_job_5_r0_critic_1,debate_job_5_r0_critic_0,debate_job_5_r0_critic_2,debate_job_6_r0_critic_2,debate_job_7_r0_critic_2,debate_job_6_r0_critic_0,debate_job_6_r0_critic_1,debate_job_5_r0_critic_3,debate_job_7_r0_critic_3,debate_job_7_r0_critic_1,debate_job_6_r0_critic_3,debate_job_7_r0_critic_0",101.40164930020588,2.0,r1c0,17179869184,2088960,491520,122880,15,pat_like,True,16.0
event_cohort_37,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_48_r0_critic_0,debate_job_48_r0_critic_2,debate_job_48_r0_critic_3,debate_job_49_r0_critic_3,debate_job_49_r0_critic_1,debate_job_49_r0_critic_2",109.96902989639726,2.0,r1c0,17179869184,835584,196608,49152,6,pat_like,True,16.0
event_cohort_38,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_8_r0_critic_0,debate_job_8_r0_critic_1,debate_job_8_r0_critic_2,debate_job_9_r0_critic_2,debate_job_8_r0_critic_3,debate_job_9_r0_critic_1,debate_job_9_r0_critic_3,debate_job_9_r0_critic_0",111.40164930020588,2.0,r1c0,17179869184,1114112,262144,65536,8,pat_like,True,16.0
event_cohort_39,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_13_r0_judge,debate_job_14_r0_judge,debate_job_15_r0_judge,debate_job_16_r0_judge",173.68113676964398,2.0,r1c0,8589934592,327680,65536,16384,4,pat_like,True,16.0
event_cohort_40,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_26_r0_judge,debate_job_27_r0_judge,debate_job_28_r0_judge,debate_job_29_r0_judge",175.29349143016347,2.0,r1c0,8589934592,327680,65536,16384,4,pat_like,True,16.0
event_cohort_41,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_21_r0_judge,debate_job_22_r0_judge",185.2840461539354,2.0,r1c0,8589934592,163840,32768,8192,2,pat_like,True,16.0
event_cohort_42,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_18_r0_judge,debate_job_19_r0_judge,debate_job_11_r0_judge",190.0412288404118,2.0,r1c0,8589934592,245760,49152,12288,3,pat_like,True,16.0
event_cohort_43,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_31_r0_judge,debate_job_39_r0_judge",206.6857856404118,2.0,r1c0,8589934592,163840,32768,8192,2,pat_like,True,16.0
event_cohort_44,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_41_r0_judge,debate_job_43_r0_judge",206.6857856404118,2.0,r1c0,8589934592,163840,32768,8192,2,pat_like,True,16.0
event_cohort_45,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_34_r0_judge,debate_job_35_r0_judge,debate_job_36_r0_judge,debate_job_37_r0_judge",209.2512771814925,2.0,r1c0,8589934592,327680,65536,16384,4,pat_like,True,16.0
event_cohort_46,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_5_r0_judge,debate_job_6_r0_judge,debate_job_7_r0_judge,debate_job_1_r0_judge,debate_job_2_r0_judge",212.12830983393545,2.0,r1c0,8589934592,409600,81920,20480,5,pat_like,True,16.0
event_cohort_47,sha256:40425a9cfe393fb2933888969cc766fecd6ca01b1756fcfd33f9a528b4bd15fb,"debate_job_45_r0_judge,debate_job_46_r0_judge",220.52540044964402,2.0,r1c0,8589934592,163840,32768,8192,2,pat_like,True,16.0
event_cohort_48,sha256:367c3d94bfcecb7696b551dc473763eec3d4b98a9278dff9abc4468e333c11a0,"long_context_swe_stress_job_23_reader_0,long_context_swe_stress_job_24_reader_0,long_context_swe_stress_job_29_reader_0,long_context_swe_stress_job_25_reader_0,long_context_swe_stress_job_25_reader_1,long_context_swe_stress_job_22_reader_2,long_context_swe_stress_job_26_reader_0,long_context_swe_stress_job_22_reader_1,long_context_swe_stress_job_28_reader_1,long_context_swe_stress_job_26_reader_1,long_context_swe_stress_job_23_reader_3,long_context_swe_stress_job_22_reader_3,long_context_swe_stress_job_23_reader_1,long_context_swe_stress_job_27_reader_0,long_context_swe_stress_job_27_reader_1,long_context_swe_stress_job_23_reader_2",307.2029101338756,2.0,r0c0,68719476736,8388608,524288,131072,16,pat_like,True,16.0
event_cohort_49,sha256:367c3d94bfcecb7696b551dc473763eec3d4b98a9278dff9abc4468e333c11a0,"long_context_swe_stress_job_28_reader_0,long_context_swe_stress_job_24_reader_1,long_context_swe_stress_job_29_reader_1,long_context_swe_stress_job_24_reader_2,long_context_swe_stress_job_28_reader_2,long_context_swe_stress_job_27_reader_2,long_context_swe_stress_job_25_reader_2,long_context_swe_stress_job_26_reader_2,long_context_swe_stress_job_25_reader_3,long_context_swe_stress_job_29_reader_2,long_context_swe_stress_job_28_reader_3,long_context_swe_stress_job_26_reader_3,long_context_swe_stress_job_27_reader_3,long_context_swe_stress_job_24_reader_3,long_context_swe_stress_job_29_reader_3",307.2029101338756,2.0,r0c0,68719476736,7864320,491520,122880,15,pat_like,True,16.0
event_cohort_50,sha256:d87bb32c680f6f336acaccf8d28838f2881e1767bb65bbc97c09858935e8f200,"long_context_swe_stress_job_7_reader_0,long_context_swe_stress_job_8_reader_0,long_context_swe_stress_job_6_reader_2,long_context_swe_stress_job_9_reader_0,long_context_swe_stress_job_8_reader_2,long_context_swe_stress_job_6_reader_3,long_context_swe_stress_job_6_reader_1,long_context_swe_stress_job_8_reader_1,long_context_swe_stress_job_9_reader_2,long_context_swe_stress_job_7_reader_3,long_context_swe_stress_job_7_reader_1,long_context_swe_stress_job_7_reader_2,long_context_swe_stress_job_9_reader_1,long_context_swe_stress_job_8_reader_3,long_context_swe_stress_job_9_reader_3",327.2029101338756,2.0,r0c0,68719476736,7864320,491520,122880,15,pat_like,True,16.0
event_cohort_51,sha256:d08f7705db36f82a4f2d727786a32471acef92d153cb06da56e3417fcdc6f080,"long_context_swe_stress_job_12_reader_0,long_context_swe_stress_job_13_reader_0,long_context_swe_stress_job_14_reader_0,long_context_swe_stress_job_15_reader_0,long_context_swe_stress_job_16_reader_0,long_context_swe_stress_job_18_reader_0,long_context_swe_stress_job_17_reader_2,long_context_swe_stress_job_17_reader_0,long_context_swe_stress_job_11_reader_1,long_context_swe_stress_job_15_reader_1,long_context_swe_stress_job_12_reader_1,long_context_swe_stress_job_19_reader_0,long_context_swe_stress_job_12_reader_3,long_context_swe_stress_job_16_reader_3,long_context_swe_stress_job_16_reader_2,long_context_swe_stress_job_13_reader_1",377.1651290330108,2.0,r0c0,68719476736,8388608,524288,131072,16,pat_like,True,16.0
event_cohort_52,sha256:d08f7705db36f82a4f2d727786a32471acef92d153cb06da56e3417fcdc6f080,"long_context_swe_stress_job_14_reader_1,long_context_swe_stress_job_16_reader_1,long_context_swe_stress_job_18_reader_1,long_context_swe_stress_job_17_reader_1,long_context_swe_stress_job_11_reader_2,long_context_swe_stress_job_13_reader_2,long_context_swe_stress_job_12_reader_2,long_context_swe_stress_job_19_reader_1,long_context_swe_stress_job_14_reader_2,long_context_swe_stress_job_19_reader_3,long_context_swe_stress_job_15_reader_2,long_context_swe_stress_job_15_reader_3,long_context_swe_stress_job_19_reader_2,long_context_swe_stress_job_14_reader_3,long_context_swe_stress_job_18_reader_2,long_context_swe_stress_job_13_reader_3",377.1651290330108,2.0,r0c0,68719476736,8388608,524288,131072,16,pat_like,True,16.0
