trace_id,dataset,task_id,harness,agent_scaffold,model,success,reward,resolved,total_steps,tool_action_steps,duration,input_tokens,output_tokens
adaptive-rejection-sampler__TYNBCaD,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5-mini@openai,True,1.0,True,12,0,189.39199829101562,133928.0,6748.0
adaptive-rejection-sampler__ULFaGu2,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5-mini@openai,False,0.0,False,5,0,132.28500366210938,19469.0,5674.0
adaptive-rejection-sampler__wdXJnGu,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5-mini@openai,False,0.0,False,7,0,135.39700317382812,44449.0,6486.0
adaptive-rejection-sampler__8BNGiwG,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5-nano@openai,False,0.0,False,7,0,202.03900146484375,51432.0,17125.0
adaptive-rejection-sampler__9Ha5HZP,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5-nano@openai,False,0.0,False,8,0,139.24200439453125,61710.0,14570.0
adaptive-rejection-sampler__EKXNd7E,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5-nano@openai,False,0.0,False,8,0,175.51100158691406,77601.0,16480.0
adaptive-rejection-sampler__SRmV2cF,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5-nano@openai,False,0.0,False,5,0,150.55799865722656,25846.0,14344.0
adaptive-rejection-sampler__PfkFMm8,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5@openai,True,1.0,True,16,0,186.072998046875,183325.0,11872.0
adaptive-rejection-sampler__npgKgCt,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5@openai,False,0.0,False,19,0,1011.9080200195312,298724.0,13248.0
adaptive-rejection-sampler__uBWHU8Z,terminalbench,adaptive-rejection-sampler,codex,codex,gpt-5@openai,True,1.0,True,24,0,435.4070129394531,444872.0,13275.0
adaptive-rejection-sampler__FUtdvQc,terminalbench,adaptive-rejection-sampler,deepagent-harbor,deepagent-harbor,gpt-5.2-codex@openai,True,1.0,True,2,0,916.1190185546875,,
adaptive-rejection-sampler__HhzfH65,terminalbench,adaptive-rejection-sampler,deepagent-harbor,deepagent-harbor,gpt-5.2-codex@openai,False,0.0,False,2,0,904.5150146484375,,
adaptive-rejection-sampler__L9mv8PM,terminalbench,adaptive-rejection-sampler,deepagent-harbor,deepagent-harbor,gpt-5.2-codex@openai,False,0.0,False,2,0,911.823974609375,,
adaptive-rejection-sampler__VV5FqEg,terminalbench,adaptive-rejection-sampler,deepagent-harbor,deepagent-harbor,gpt-5.2-codex@openai,True,1.0,True,2,0,912.3369750976562,,
adaptive-rejection-sampler__jbfJ8Q9,terminalbench,adaptive-rejection-sampler,deepagent-harbor,deepagent-harbor,gpt-5.2-codex@openai,False,0.0,False,2,0,910.9869995117188,,
adaptive-rejection-sampler__AfJmk7b,terminalbench,adaptive-rejection-sampler,gemini-cli,gemini-cli,gemini-2.5-flash@gemini,False,0.0,False,5,4,976.0809936523438,60410.0,6701.0
adaptive-rejection-sampler__GUwpnF9,terminalbench,adaptive-rejection-sampler,gemini-cli,gemini-cli,gemini-2.5-flash@gemini,False,0.0,False,25,22,638.2249755859375,2388814.0,49158.0
adaptive-rejection-sampler__J4RU6wx,terminalbench,adaptive-rejection-sampler,gemini-cli,gemini-cli,gemini-2.5-flash@gemini,False,0.0,False,10,8,1043.8189697265625,339620.0,18661.0
adaptive-rejection-sampler__5wzrbZ5,terminalbench,adaptive-rejection-sampler,gemini-cli,gemini-cli,gemini-2.5-pro@gemini,False,0.0,False,32,23,979.8800048828125,2148991.0,104148.0
adaptive-rejection-sampler__SS45vvx,terminalbench,adaptive-rejection-sampler,gemini-cli,gemini-cli,gemini-2.5-pro@gemini,False,0.0,False,7,4,151.5070037841797,69981.0,5550.0
adaptive-rejection-sampler__u2ZNJEk,terminalbench,adaptive-rejection-sampler,gemini-cli,gemini-cli,gemini-2.5-pro@gemini,False,0.0,False,11,9,1048.3900146484375,349562.0,13855.0
adaptive-rejection-sampler__wtotAM4,terminalbench,adaptive-rejection-sampler,gemini-cli,gemini-cli,gemini-2.5-pro@gemini,False,0.0,False,9,4,177.13699340820312,291223.0,2601.0
adaptive-rejection-sampler__nJ7ycqL,terminalbench,adaptive-rejection-sampler,judy,judy,claude-opus-4.6@anthropic,False,0.0,False,12,1,484.3030090332031,,
adaptive-rejection-sampler__8pseXFF,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,False,0.0,False,29,11,596.3519897460938,1062579.0,64871.0
adaptive-rejection-sampler__BAENPXx,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,False,0.0,False,49,32,468.98199462890625,2210090.0,64040.0
adaptive-rejection-sampler__dPYcKA3,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,True,1.0,True,13,5,204.2790069580078,242566.0,23811.0
adaptive-rejection-sampler__eVwbxhE,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,False,0.0,False,32,12,471.05499267578125,1198604.0,58896.0
adaptive-rejection-sampler__kbriGHH,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,False,0.0,False,27,23,635.1129760742188,418296.0,12545.0
adaptive-rejection-sampler__DsprLuQ,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-opus-4-1-20250805@anthropic,False,0.0,False,34,22,737.6510009765625,790701.0,37398.0
adaptive-rejection-sampler__NQ8QddR,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-opus-4-1-20250805@anthropic,False,0.0,False,33,18,1146.989013671875,948090.0,47949.0
adaptive-rejection-sampler__Z9YmmDm,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-opus-4-1-20250805@anthropic,False,0.0,False,53,38,934.6329956054688,1540753.0,42066.0
adaptive-rejection-sampler__fn8X9VW,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-opus-4-1-20250805@anthropic,False,0.0,False,12,4,493.3580017089844,96519.0,9609.0
adaptive-rejection-sampler__7xdUSEo,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,False,0.0,False,69,41,1210.0980224609375,3064843.0,63411.0
adaptive-rejection-sampler__NqKQjQ6,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,True,1.0,True,59,32,858.572021484375,2111545.0,56720.0
adaptive-rejection-sampler__PeBg53F,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,True,1.0,True,57,44,562.2990112304688,1701909.0,30581.0
adaptive-rejection-sampler__RqiZwxu,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,False,0.0,False,46,34,909.18798828125,736844.0,22232.0
adaptive-rejection-sampler__97tgamo,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-flash@gemini,False,0.0,False,20,11,824.9180297851562,677149.0,87575.0
adaptive-rejection-sampler__H7F7fKp,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-flash@gemini,False,0.0,False,12,7,237.75,159322.0,28425.0
adaptive-rejection-sampler__MTD9i4t,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-flash@gemini,False,0.0,False,47,43,740.0,3184258.0,91271.0
adaptive-rejection-sampler__qUfzBjg,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-flash@gemini,False,0.0,False,15,9,949.56298828125,265922.0,150236.0
adaptive-rejection-sampler__vse9BzZ,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-flash@gemini,False,0.0,False,9,6,364.2969970703125,25763.0,842.0
adaptive-rejection-sampler__WF5Ur43,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-pro@gemini,False,0.0,False,14,8,456.2720031738281,139776.0,56059.0
adaptive-rejection-sampler__WYYdteG,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-pro@gemini,False,0.0,False,17,9,717.1420288085938,266007.0,77419.0
adaptive-rejection-sampler__Xr3y5ap,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-pro@gemini,False,0.0,False,11,8,392.6889953613281,75265.0,27179.0
adaptive-rejection-sampler__YcUaWEr,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-pro@gemini,True,1.0,True,16,9,349.7720031738281,232830.0,29014.0
adaptive-rejection-sampler__nZRRd4d,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gemini-2.5-pro@gemini,True,1.0,True,18,9,627.791015625,285401.0,56379.0
adaptive-rejection-sampler__RtJpbRn,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-codex@openai,True,1.0,True,26,20,991.7169799804688,294457.0,46012.0
adaptive-rejection-sampler__SPJBDfM,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-codex@openai,False,0.0,False,18,15,1243.77001953125,112657.0,43524.0
adaptive-rejection-sampler__jopRG2a,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-codex@openai,False,0.0,False,6,5,944.9169921875,9204.0,237.0
adaptive-rejection-sampler__o3eiz6S,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-codex@openai,False,0.0,False,7,6,942.6929931640625,7077.0,3162.0
adaptive-rejection-sampler__u4d46pS,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-codex@openai,False,0.0,False,9,6,648.2529907226562,34260.0,32321.0
adaptive-rejection-sampler__AJpYvZn,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-mini@openai,True,1.0,True,10,4,651.3170166015625,81999.0,23268.0
adaptive-rejection-sampler__PzJiFSv,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-mini@openai,True,1.0,True,17,6,612.3079833984375,526165.0,32601.0
adaptive-rejection-sampler__UZSCgeC,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-mini@openai,True,1.0,True,6,1,294.9049987792969,33475.0,13184.0
adaptive-rejection-sampler__rBUDnNd,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-mini@openai,False,0.0,False,7,1,492.6700134277344,51542.0,19256.0
adaptive-rejection-sampler__tuhBWt9,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-mini@openai,True,1.0,True,16,10,793.5120239257812,530455.0,27050.0
adaptive-rejection-sampler__8J8aWnA,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-nano@openai,False,0.0,False,8,3,148.98300170898438,41812.0,19822.0
adaptive-rejection-sampler__C2tovyX,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-nano@openai,False,0.0,False,9,3,414.6210021972656,70619.0,38467.0
adaptive-rejection-sampler__RGmqnaH,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-nano@openai,False,0.0,False,14,5,393.2449951171875,89302.0,50524.0
adaptive-rejection-sampler__WVE54tZ,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-nano@openai,True,1.0,True,9,5,210.11599731445312,44073.0,27471.0
adaptive-rejection-sampler__obaW2uQ,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5-nano@openai,False,0.0,False,6,2,306.9049987792969,22140.0,24695.0
adaptive-rejection-sampler__JdVyCJF,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5@openai,True,1.0,True,6,1,400.6669921875,42519.0,23481.0
adaptive-rejection-sampler__Jfvspiz,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5@openai,True,1.0,True,6,1,434.1369934082031,43516.0,24916.0
adaptive-rejection-sampler__Y6n3JUW,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5@openai,True,1.0,True,10,4,762.2420043945312,133761.0,46998.0
adaptive-rejection-sampler__baXxxcR,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5@openai,True,1.0,True,6,1,580.7579956054688,42661.0,32245.0
adaptive-rejection-sampler__eLMy9rN,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,gpt-5@openai,True,1.0,True,7,1,600.5130004882812,68457.0,30279.0
adaptive-rejection-sampler__7r59WGT,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-4-0709@xai,True,1.0,True,8,6,937.2440185546875,24689.0,1379.0
adaptive-rejection-sampler__RoECVEy,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-4-0709@xai,False,0.0,False,12,9,939.9409790039062,55230.0,4765.0
adaptive-rejection-sampler__SnfStR9,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-4-0709@xai,False,0.0,False,6,5,933.9580078125,11711.0,280.0
adaptive-rejection-sampler__dRbSi8E,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-4-0709@xai,False,0.0,False,19,16,1032.6319580078125,122811.0,8918.0
adaptive-rejection-sampler__xryYhhX,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-4-0709@xai,False,0.0,False,13,9,617.1959838867188,66205.0,4068.0
adaptive-rejection-sampler__9g3wkHJ,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-code-fast-1@xai,False,0.0,False,8,5,201.98500061035156,67949.0,2469.0
adaptive-rejection-sampler__G2Li3Bb,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-code-fast-1@xai,False,0.0,False,16,8,117.05400085449219,148606.0,9747.0
adaptive-rejection-sampler__i7hGt86,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-code-fast-1@xai,False,0.0,False,28,26,949.2940063476562,525801.0,3872.0
adaptive-rejection-sampler__qrULXJm,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-code-fast-1@xai,False,0.0,False,51,44,484.3139953613281,1236146.0,9015.0
adaptive-rejection-sampler__wQrAV6M,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,grok-code-fast-1@xai,False,0.0,False,24,18,239.38299560546875,326816.0,7311.0
882393f2-4c26-43c1-8865-b45508c948db,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,13,11,315.7229919433594,109145.0,17082.0
89d202a7-2d72-4c1c-a897-f342ba3efe8d,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,16,13,309.94000244140625,135484.0,13479.0
5c1740b8-0a8f-42ce-a38f-151748c23028,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,True,1.0,True,7,5,193.20899963378906,27367.0,3382.0
b7e16b2e-41db-4d69-823a-df2808d63f3e,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,6,3,134.29299926757812,22598.0,4595.0
e4aa0800-7bba-4fa1-a038-e6547b7abe50,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,5,3,116.44999694824219,13556.0,2572.0
88749b4b-d1df-456c-9771-8f7b666cb2f9,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,6,3,75.38099670410156,15950.0,6923.0
e007831f-3ee1-464c-a68f-f4cefb40acde,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,5,2,84.58000183105469,9075.0,9699.0
0e4c5797-5de7-49c1-a2b2-eca1c727bc51,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,5,2,112.427001953125,9379.0,9796.0
777d586b-b8a3-4e75-92f9-255a2849172c,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,6,2,205.27999877929688,20774.0,11471.0
d72e7901-75bb-4dd1-97da-0becb9125e22,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,4,3,85.24600219726562,4240.0,5508.0
adaptive-rejection-sampler__3FeauoJ,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,13,1,315.7229919433594,109145.0,17082.0
adaptive-rejection-sampler__8equNDa,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,16,2,309.94000244140625,135484.0,13479.0
adaptive-rejection-sampler__aJ5yWGF,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,True,1.0,True,7,3,193.20899963378906,27367.0,3382.0
adaptive-rejection-sampler__d6jprhC,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,6,1,134.29299926757812,22598.0,4595.0
adaptive-rejection-sampler__iZMeK6V,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-120b@together_ai,False,0.0,False,5,1,116.44999694824219,13556.0,2572.0
adaptive-rejection-sampler__BRzadTG,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,6,2,75.38099670410156,15950.0,6923.0
adaptive-rejection-sampler__FfL873V,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,5,1,84.58000183105469,9075.0,9699.0
adaptive-rejection-sampler__JMiUHQQ,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,5,1,112.427001953125,9379.0,9796.0
adaptive-rejection-sampler__rECa98t,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,6,1,205.27999877929688,20774.0,11471.0
adaptive-rejection-sampler__xFawgtu,terminalbench,adaptive-rejection-sampler,mini-swe-agent,mini-swe-agent,openai/gpt-oss-20b@together_ai,False,0.0,False,4,1,85.24600219726562,4240.0,5508.0
1b7f4d3c-01fe-4cb7-bdcf-647d5e9d0fe2,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,149,46,1014.6270141601562,1689543.0,42219.0
63552649-a47f-401f-911c-a8ec0f09fc39,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,169,76,1113.20703125,2452740.0,40063.0
a5c20ce4-9531-4659-9b87-db43caf205d2,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,147,46,1017.4710083007812,1523062.0,39117.0
61befe60-0a0f-4f14-a34c-0d9ad726037f,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,187,62,1036.344970703125,2396744.0,48890.0
45c9ab03-16b5-4cec-a3bd-e023976323d7,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,175,56,1034.3570556640625,1983658.0,43739.0
adaptive-rejection-sampler__6FaBhwG,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,149,44,1014.6270141601562,1689543.0,42219.0
adaptive-rejection-sampler__HyrfKZf,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,169,76,1113.20703125,2452740.0,40063.0
adaptive-rejection-sampler__KSg5yzj,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,147,42,1017.4710083007812,1523062.0,39117.0
adaptive-rejection-sampler__MdunC2e,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,187,56,1036.344970703125,2396744.0,48890.0
adaptive-rejection-sampler__exCy23r,terminalbench,adaptive-rejection-sampler,openhands,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,False,0.0,False,175,56,1034.3570556640625,1983658.0,43739.0
adaptive-rejection-sampler__NEVsKiq,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-haiku-4-5-20251001@anthropic,False,0.0,False,1127,0,1351.7679443359375,10593753.0,45557.0
adaptive-rejection-sampler__YEh5z53,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-haiku-4-5-20251001@anthropic,False,0.0,False,671,16,1233.1729736328125,6529014.0,45952.0
adaptive-rejection-sampler__n4FobPA,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-haiku-4-5-20251001@anthropic,False,0.0,False,293,0,1116.89697265625,5626931.0,118930.0
adaptive-rejection-sampler__ohbpS9t,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-haiku-4-5-20251001@anthropic,False,0.0,False,1541,0,2294.301025390625,15610489.0,48874.0
adaptive-rejection-sampler__pzHFQth,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-haiku-4-5-20251001@anthropic,False,0.0,False,629,0,1319.5150146484375,9417380.0,126583.0
adaptive-rejection-sampler__JUqhN9x,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-opus-4-1-20250805@anthropic,True,1.0,True,69,60,790.6630249023438,1446541.0,29701.0
adaptive-rejection-sampler__aY7vGds,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-opus-4-1-20250805@anthropic,False,0.0,False,51,44,491.9909973144531,768096.0,17221.0
adaptive-rejection-sampler__kcwCsni,terminalbench,adaptive-rejection-sampler,openhands,openhands,claude-opus-4-1-20250805@anthropic,True,1.0,True,129,116,1017.1580200195312,3588810.0,37486.0
