trace_id,step_id,object_type,object_id,size_chars,access_type,object_source,stable_object,phase,tool_name,tool_wrapper,semantic_tool
terminalbench:tb_mock_fail_loop,3,file,file:app.py,15,mention,observation,True,edit/write,try,sed,try
terminalbench:tb_mock_fail_loop,3,observation,observation:37cfbde57b70c5ac,15,read,observation,False,edit/write,try,sed,try
terminalbench:tb_mock_fail_loop,4,file,file:tests/test_cli.py,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,4,test_log,test_log:6fe60c90c5322d82,53,execute_result,observation,False,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,4,test_case,test:tests/test_cli.py::test_timeout,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,4,test_case,test:tests/test_cli.py,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,5,file,file:app.py,15,mention,observation,True,edit/write,try,sed,try
terminalbench:tb_mock_fail_loop,5,observation,observation:37cfbde57b70c5ac,15,read,observation,False,edit/write,try,sed,try
terminalbench:tb_mock_fail_loop,6,file,file:tests/test_cli.py,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,6,test_log,test_log:6fe60c90c5322d82,53,execute_result,observation,False,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,6,test_case,test:tests/test_cli.py::test_timeout,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,6,test_case,test:tests/test_cli.py,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,7,observation,observation:45ff611ef6d08125,12,read,observation,False,verify/final,give,final,give
terminalbench:tb_mock_success_2,0,file,file:/model.py,32,execute_result,observation,True,explore/read,find,find,find
terminalbench:tb_mock_success_2,0,file,file:/tests/test_model.py,32,execute_result,observation,True,explore/read,find,find,find
terminalbench:tb_mock_success_2,0,test_log,test_log:6b57e853a28b8f9f,32,execute_result,observation,False,explore/read,find,find,find
terminalbench:tb_mock_success_2,0,test_case,test:tests/test_model.py,32,execute_result,observation,True,explore/read,find,find,find
terminalbench:tb_mock_success_2,1,file,file:tests/test_model.py,19,read,message,True,explore/read,read,cat,read
terminalbench:tb_mock_success_2,1,observation,observation:6ee115b7d36aa4a1,29,read,observation,False,explore/read,read,cat,read
terminalbench:tb_mock_success_2,2,file,file:model.py,8,read,message,True,explore/read,read,cat,read
terminalbench:tb_mock_success_2,2,observation,observation:b650e9b9128f38fd,22,read,observation,False,explore/read,read,cat,read
terminalbench:tb_mock_success_2,3,file,file:model.py,16,mention,observation,True,unknown,fix,edit,fix
terminalbench:tb_mock_success_2,3,observation,observation:cb577129df1cccd3,16,read,observation,False,unknown,fix,edit,fix
terminalbench:tb_mock_success_2,4,test_log,test_log:b52183243386e316,8,execute_result,observation,False,execute/test,run,python,run
terminalbench:tb_mock_success_2,5,test_log,test_log:9bf0467715b563c5,8,execute_result,observation,False,execute/test,run,pytest,run
terminalbench:tb_mock_browser,0,observation,observation:9274aea8df6e9806,35,read,observation,False,explore/read,search,search,search
terminalbench:tb_mock_browser,1,browser_page,browser_page:b15501630b3c3920,53,retrieve_result,observation,False,retrieve/browser,fetch,fetch,fetch
terminalbench:tb_mock_browser,2,file,file:client.py,9,read,message,True,explore/read,read,cat,read
terminalbench:tb_mock_browser,2,observation,observation:6e324566bb9b6d49,39,read,observation,False,explore/read,read,cat,read
terminalbench:tb_mock_browser,3,file,file:client.py,17,mention,observation,True,unknown,update,edit,update
terminalbench:tb_mock_browser,3,observation,observation:7fecb247bdf14182,17,read,observation,False,unknown,update,edit,update
terminalbench:tb_mock_browser,4,test_log,test_log:bf1d0383e18bbe71,8,execute_result,observation,False,execute/test,run,pytest,run
swe_agent:mock__project-101,1,file,file:src/cache.py,12,read,message,True,explore/read,open,open,open
swe_agent:mock__project-101,1,observation,observation:6602f900426d4258,40,read,observation,False,explore/read,open,open,open
swe_agent:mock__project-101,2,file,file:tests/test_cache.py,36,execute_result,observation,True,explore/read,search,search,search
swe_agent:mock__project-101,2,test_log,test_log:7d93b519bdb9effd,36,execute_result,observation,False,explore/read,search,search,search
swe_agent:mock__project-101,2,test_case,test:tests/test_cache.py,36,execute_result,observation,True,explore/read,search,search,search
swe_agent:mock__project-101,3,observation,observation:007b090976187ffd,13,read,observation,False,edit/write,edit,edit,edit
swe_agent:mock__project-101,4,file,file:tests/test_cache.py,19,execute,message,True,execute/test,pytest,pytest,pytest
swe_agent:mock__project-101,4,test_log,test_log:1722dcc18aedbf7b,8,execute_result,observation,False,execute/test,pytest,pytest,pytest
swe_agent:mock__project-202,1,file,file:server.py,9,read,message,True,explore/read,open,open,open
swe_agent:mock__project-202,1,observation,observation:5076837369b5f4b2,48,read,observation,False,explore/read,open,open,open
swe_agent:mock__project-202,2,file,file:tests/test_server.py,46,execute_result,observation,True,execute/test,pytest,pytest,pytest
swe_agent:mock__project-202,2,test_log,test_log:d126b27d5b0b8c05,46,execute_result,observation,False,execute/test,pytest,pytest,pytest
swe_agent:mock__project-202,2,test_case,test:tests/test_server.py,46,execute_result,observation,True,execute/test,pytest,pytest,pytest
swe_agent:mock__project-202,3,observation,observation:007b090976187ffd,13,read,observation,False,edit/write,edit,edit,edit
swe_agent:mock__project-202,4,file,file:tests/test_server.py,42,execute_result,observation,True,execute/test,pytest,pytest,pytest
swe_agent:mock__project-202,4,test_log,test_log:8b0d2a86876a06fe,42,execute_result,observation,False,execute/test,pytest,pytest,pytest
swe_agent:mock__project-202,4,test_case,test:tests/test_server.py,42,execute_result,observation,True,execute/test,pytest,pytest,pytest
